card,city,date,event,fightRound,fighterOne,fighterOneUrl,fighterTwo,fighterTwoUrl,method,notes,result,roundTime,weightclass
,"Columbus, Ohio","March 3, 2012",Strikeforce: Tate vs. Rousey,3,Ronaldo Souza,/wiki/Ronaldo_Souza,Bristol Marunde,/wiki/Bristol_Marunde,Submission (arm-triangle choke),,def.,02:43,Middleweight
,"Columbus, Ohio","March 3, 2012",Strikeforce: Tate vs. Rousey,1,Lumumba Sayers,/wiki/Lumumba_Sayers,Scott Smith,/wiki/Scott_Smith_(fighter),Submission (guillotine choke),,def.,01:34,Middleweight
,"Columbus, Ohio","March 3, 2012",Strikeforce: Tate vs. Rousey,3,Sarah Kaufman,/wiki/Sarah_Kaufman_(fighter),Alexis Davis,/wiki/Alexis_Davis_(fighter),"Decision (majority) (29â€“29, 29â€“28, 29â€“28)",,def.,05:00,Women's Bantamweight
,"Columbus, Ohio","March 3, 2012",Strikeforce: Tate vs. Rousey,3,Pat Healy,/wiki/Pat_Healy_(fighter),Caros Fodor,/wiki/Caros_Fodor,Submission (arm-triangle choke),,def.,03:35,Lightweight
,"Columbus, Ohio","March 3, 2012",Strikeforce: Tate vs. Rousey,2,Roger Bowling,/wiki/Roger_Bowling_(fighter),Brandon Saling,,TKO (punches),,def.,01:15,Welterweight
,"Columbus, Ohio","March 3, 2012",Strikeforce: Tate vs. Rousey,3,Ryan Couture,/wiki/Ryan_Couture,Conor Heun,/wiki/Conor_Heun,TKO (punches),,def.,02:52,Lightweight
,"San Jose, California","May 19, 2012",Strikeforce: Barnett vs. Cormier,5,Daniel Cormier,/wiki/Daniel_Cormier,Josh Barnett,/wiki/Josh_Barnett,"Decision (unanimous) (49â€“46, 50â€“45, 50â€“45)",,def.,05:00,Heavyweight
,"San Jose, California","May 19, 2012",Strikeforce: Barnett vs. Cormier,5,Gilbert Melendez,/wiki/Gilbert_Melendez,Josh Thomson,/wiki/Josh_Thomson,"Decision (split) (47â€“48, 48â€“47, 48â€“47)",,def.,05:00,Lightweight
,"San Jose, California","May 19, 2012",Strikeforce: Barnett vs. Cormier,1,Rafael Cavalcante,/wiki/Rafael_Cavalcante,Mike Kyle,/wiki/Mike_Kyle,Submission (guillotine choke),,def.,00:33,Light Heavyweight
,"San Jose, California","May 19, 2012",Strikeforce: Barnett vs. Cormier,1,Chris SpÃ¥ng,/wiki/Chris_Sp%C3%A5ng,Nah-Shon Burrell,/wiki/Nah-Shon_Burrell,TKO (knees),,def.,03:25,Welterweight
,"San Jose, California","May 19, 2012",Strikeforce: Barnett vs. Cormier,3,Isaac Vallie-Flagg,/wiki/Isaac_Vallie-Flagg,Gesias Cavalcante,/wiki/Gesias_Cavalcante,"Decision (split) (29â€“28, 29â€“28, 28â€“29)",,def.,05:00,Lightweight
,"San Jose, California","May 19, 2012",Strikeforce: Barnett vs. Cormier,3,Bobby Green,/wiki/Bobby_Green_(fighter),James Terry,/wiki/James_Terry_(fighter),"Decision (split) (28â€“29, 29â€“28, 29â€“28)",,def.,05:00,Lightweight
,"San Jose, California","May 19, 2012",Strikeforce: Barnett vs. Cormier,3,Quinn Mulhern,/wiki/Quinn_Mulhern,Yuri Villefort,/wiki/Yuri_Villefort,"Decision (split) (30â€“27, 28â€“29, 29â€“28)",,def.,05:00,Welterweight
,"San Jose, California","May 19, 2012",Strikeforce: Barnett vs. Cormier,3,Gian Villante,/wiki/Gian_Villante,Derrick Mehmen,/wiki/Derrick_Mehmen,"Decision (unanimous) (29â€“28, 30â€“27, 30â€“27)",,def.,05:00,Light Heavyweight
,"San Jose, California","May 19, 2012",Strikeforce: Barnett vs. Cormier,3,Guto Inocente,/wiki/Guto_Inocente,Virgil Zwicker,/wiki/Virgil_Zwicker,"Decision (unanimous) (29â€“28, 29â€“28, 30â€“27)",,def.,05:00,Light Heavyweight
,"Portland, Oregon","July 14, 2012",Strikeforce: Rockhold vs. Kennedy,5,Luke Rockhold,/wiki/Luke_Rockhold,Tim Kennedy,/wiki/Tim_Kennedy_(fighter),"Decision (unanimous) (49â€“46, 49â€“46, 49â€“46)",,def.,05:00,Middleweight
,"Portland, Oregon","July 14, 2012",Strikeforce: Rockhold vs. Kennedy,4,Nate Marquardt,/wiki/Nate_Marquardt,Tyron Woodley,/wiki/Tyron_Woodley,KO (elbows and punches),,def.,01:39,Welterweight
,"Portland, Oregon","July 14, 2012",Strikeforce: Rockhold vs. Kennedy,3,Roger Gracie,/wiki/Roger_Gracie,Keith Jardine,/wiki/Keith_Jardine,"Decision (unanimous) (29â€“27, 30â€“27, 30â€“26)",,def.,05:00,Middleweight
,"Portland, Oregon","July 14, 2012",Strikeforce: Rockhold vs. Kennedy,3,Lorenz Larkin,/wiki/Lorenz_Larkin,Robbie Lawler,/wiki/Robbie_Lawler,"Decision (unanimous) (30â€“27, 30â€“27, 30â€“27)",,def.,05:00,Middleweight
,"Portland, Oregon","July 14, 2012",Strikeforce: Rockhold vs. Kennedy,3,Pat Healy,/wiki/Pat_Healy_(fighter),Mizuto Hirota,/wiki/Mizuto_Hirota,"Decision (unanimous) (30â€“27, 29â€“28, 29â€“28)",,def.,05:00,Lightweight
,"Portland, Oregon","July 14, 2012",Strikeforce: Rockhold vs. Kennedy,3,Ryan Couture,/wiki/Ryan_Couture,Joe Duarte,/wiki/Joe_Duarte,"Decision (split) (29â€“28, 28â€“29, 29â€“28)",,def.,05:00,Lightweight
,"Portland, Oregon","July 14, 2012",Strikeforce: Rockhold vs. Kennedy,3,Jorge Masvidal,/wiki/Jorge_Masvidal,Justin Wilcox,/wiki/Justin_Wilcox,"Decision (split) (29â€“28, 28â€“29, 30â€“27)",,def.,05:00,Lightweight
,"Portland, Oregon","July 14, 2012",Strikeforce: Rockhold vs. Kennedy,3,Jordan Mein,/wiki/Jordan_Mein,Tyler Stinson,/wiki/Tyler_Stinson,"Decision (unanimous) (30â€“27, 30â€“27, 30â€“27)",,def.,05:00,Welterweight
,"Portland, Oregon","July 14, 2012",Strikeforce: Rockhold vs. Kennedy,1,Jason High,/wiki/Jason_High,Nate Moore,/wiki/Nate_Moore,Submission (guillotine choke),,def.,00:26,Welterweight
