city,date,fightClass,fightRound,fighterOne,fighterOneResult,fighterOneUrl,fighterTwo,fighterTwoUrl,method,promotion,time,venue
"Las Vegas, Nevada","September 28, 2001",Welterweight,3,Matt Serra,def.,/wiki/Matt_Serra,Yves Edwards,/wiki/Yves_Edwards,"Decision (majority) (30–26, 30–27, 29–29)",Ultimate Fighting Championship,5:00,Mandalay Bay Events Center
"Las Vegas, Nevada","September 28, 2001",Welterweight,2,Jutaro Nakao,def.,/wiki/Jutaro_Nakao,Tony DeSouza,/wiki/Tony_DeSouza,KO (punch),Ultimate Fighting Championship,0:15,Mandalay Bay Events Center
"Las Vegas, Nevada","September 28, 2001",Middleweight,1,Ricardo Almeida,def.,/wiki/Ricardo_Almeida,,,Submission (triangle choke),Ultimate Fighting Championship,4:06,Mandalay Bay Events Center
"Las Vegas, Nevada","September 28, 2001",Lightweight,3,Din Thomas,def.,/wiki/Din_Thomas,Fabiano Iha,/wiki/Fabiano_Iha,"Decision (unanimous) (29–28, 29–27, 29–28)",Ultimate Fighting Championship,5:00,Mandalay Bay Events Center
"Las Vegas, Nevada","November 2, 2001",Heavyweight,3,Randy Couture,def.,/wiki/Randy_Couture,Pedro Rizzo,/wiki/Pedro_Rizzo,TKO (punches),Ultimate Fighting Championship,3:22,MGM Grand Garden Arena
"Las Vegas, Nevada","November 2, 2001",Welterweight,2,Matt Hughes,def.,/wiki/Matt_Hughes_(fighter),Carlos Newton,/wiki/Carlos_Newton,KO (slam),Ultimate Fighting Championship,1:23,MGM Grand Garden Arena
"Las Vegas, Nevada","November 2, 2001",Heavyweight,2,Ricco Rodriguez,def.,/wiki/Ricco_Rodriguez,Pete Williams,/wiki/Pete_Williams_(mixed_martial_artist),TKO (punches),Ultimate Fighting Championship,4:02,MGM Grand Garden Arena
"Las Vegas, Nevada","November 2, 2001",Lightweight,1,B.J. Penn,def.,/wiki/B.J._Penn,Caol Uno,/wiki/Caol_Uno,KO (punches),Ultimate Fighting Championship,0:11,MGM Grand Garden Arena
"Las Vegas, Nevada","November 2, 2001",Heavyweight,2,Josh Barnett,def.,/wiki/Josh_Barnett,Bobby Hoffman,/wiki/Bobby_Hoffman,Submission (punches),Ultimate Fighting Championship,4:25,MGM Grand Garden Arena
"Las Vegas, Nevada","November 2, 2001",Middleweight,2,Evan Tanner,def.,/wiki/Evan_Tanner,Homer Moore,/wiki/Homer_Moore,Submission (armbar),Ultimate Fighting Championship,0:55,MGM Grand Garden Arena
"Las Vegas, Nevada","November 2, 2001",Middleweight,3,Matt Lindland,def.,/wiki/Matt_Lindland,Phil Baroni,/wiki/Phil_Baroni,"Decision (majority) (29–28, 29–27, 28–28)",Ultimate Fighting Championship,5:00,MGM Grand Garden Arena
"Las Vegas, Nevada","November 2, 2001",Heavyweight,1,Frank Mir,def.,/wiki/Frank_Mir,Roberto Traven,/wiki/Roberto_Traven,Submission (armbar),Ultimate Fighting Championship,1:05,MGM Grand Garden Arena
Uncasville,"January 11, 2002",Lightweight,5,Jens Pulver,def.,/wiki/Jens_Pulver,B.J. Penn,/wiki/B.J._Penn,"Decision (majority) (48–45, 47–47, 48–47)",Ultimate Fighting Championship,5:00,Mohegan Sun Arena
Uncasville,"January 11, 2002",Heavyweight,3,Ricco Rodriguez,def.,/wiki/Ricco_Rodriguez,Jeff Monson,/wiki/Jeff_Monson,TKO (punches),Ultimate Fighting Championship,3:00,Mohegan Sun Arena
Uncasville,"January 11, 2002",Middleweight,2,Murilo Bustamante,def.,/wiki/Murilo_Bustamante,Dave Menne,/wiki/Dave_Menne,TKO (punches),Ultimate Fighting Championship,0:44,Mohegan Sun Arena
Uncasville,"January 11, 2002",Light Heavyweight,3,Chuck Liddell,def.,/wiki/Chuck_Liddell,Amar Suloev,/wiki/Amar_Suloev,"Decision (unanimous) (30–27, 30–27, 30–27)",Ultimate Fighting Championship,5:00,Mohegan Sun Arena
Uncasville,"January 11, 2002",Middleweight,2,Andrei Semenov,def.,/wiki/Andrei_Semenov_(fighter),Ricardo Almeida,/wiki/Ricardo_Almeida,TKO (punches),Ultimate Fighting Championship,2:01,Mohegan Sun Arena
Uncasville,"January 11, 2002",Light Heavyweight,3,Kevin Randleman,def.,/wiki/Kevin_Randleman,Renato Sobral,/wiki/Renato_Sobral,"Decision (unanimous) (30–26, 30–26, 30–25)",Ultimate Fighting Championship,5:00,Mohegan Sun Arena
Uncasville,"January 11, 2002",Welterweight,3,Gil Castillo,def.,/wiki/Gil_Castillo,Chris Brennan,/wiki/Chris_Brennan,"Decision (unanimous) (30–26, 30–27, 30–28)",Ultimate Fighting Championship,5:00,Mohegan Sun Arena
Uncasville,"January 11, 2002",Middleweight,2,Eugene Jackson,def.,,Keith Rockel,,Submission (guillotine choke),Ultimate Fighting Championship,3:46,Mohegan Sun Arena
"Las Vegas, Nevada","March 22, 2002",Heavyweight,2,Josh Barnett,def.,/wiki/Josh_Barnett,Randy Couture,/wiki/Randy_Couture,TKO (punches),Ultimate Fighting Championship,4:35,MGM Grand Arena
"Las Vegas, Nevada","March 22, 2002",Heavyweight,3,Pedro Rizzo,def.,/wiki/Pedro_Rizzo,Andrei Arlovski,/wiki/Andrei_Arlovski,KO (punches),Ultimate Fighting Championship,1:45,MGM Grand Arena
"Las Vegas, Nevada","March 22, 2002",Welterweight,4,Matt Hughes,def.,/wiki/Matt_Hughes_(fighter),Hayato Sakurai,/wiki/Hayato_Sakurai,TKO (punches),Ultimate Fighting Championship,3:01,MGM Grand Arena
"Las Vegas, Nevada","March 22, 2002",Middleweight,1,Matt Lindland,def.,/wiki/Matt_Lindland,Pat Miletich,/wiki/Pat_Miletich,TKO (punches),Ultimate Fighting Championship,3:09,MGM Grand Arena
"Las Vegas, Nevada","March 22, 2002",Light Heavyweight,1,Evan Tanner,def.,/wiki/Evan_Tanner,Elvis Sinosic,/wiki/Elvis_Sinosic,TKO (cut),Ultimate Fighting Championship,2:06,MGM Grand Arena
"Las Vegas, Nevada","March 22, 2002",Heavyweight,1,Frank Mir,def.,/wiki/Frank_Mir,Pete Williams,/wiki/Pete_Williams_(fighter),Submission (inside shoulder lock),Ultimate Fighting Championship,0:46,MGM Grand Arena
"Las Vegas, Nevada","March 22, 2002",Lightweight,1,Matt Serra,def.,/wiki/Matt_Serra,Kelly Dullanty,/wiki/Kelly_Dullanty,Submission (triangle choke),Ultimate Fighting Championship,2:58,MGM Grand Arena
"Las Vegas, Nevada","March 22, 2002",Welterweight,3,Sean Sherk,def.,/wiki/Sean_Sherk,Jutaro Nakao,/wiki/Jutaro_Nakao,Decision (unanimous),Ultimate Fighting Championship,5:00,MGM Grand Arena
Bossier City,"May 10, 2002",Middleweight,3,Murilo Bustamante,def.,/wiki/Murilo_Bustamante,Matt Lindland,/wiki/Matt_Lindland,Submission (guillotine choke),Ultimate Fighting Championship,1:33,CenturyTel Center
Bossier City,"May 10, 2002",Heavyweight,2,Ricco Rodriguez,def.,/wiki/Ricco_Rodriguez,Tsuyoshi Kosaka,/wiki/Tsuyoshi_Kosaka,TKO (punches),Ultimate Fighting Championship,3:25,CenturyTel Center
Bossier City,"May 10, 2002",Lightweight,2,B.J. Penn,def.,/wiki/B.J._Penn,Paul Creighton,/wiki/Paul_Creighton,TKO (punches),Ultimate Fighting Championship,3:23,CenturyTel Center
Bossier City,"May 10, 2002",Middleweight,1,Phil Baroni,def.,/wiki/Phil_Baroni,Amar Suloev,/wiki/Amar_Suloev,TKO (punches),Ultimate Fighting Championship,2:55,CenturyTel Center
Bossier City,"May 10, 2002",Lightweight,3,Caol Uno,def.,/wiki/Caol_Uno,Yves Edwards,/wiki/Yves_Edwards,Decision (unanimous),Ultimate Fighting Championship,5:00,CenturyTel Center
Bossier City,"May 10, 2002",Middleweight,3,Ivan Salaverry,def.,/wiki/Ivan_Salaverry,Andrei Semenov,/wiki/Andrei_Semenov_(fighter),TKO (punches),Ultimate Fighting Championship,2:27,CenturyTel Center
Bossier City,"May 10, 2002",Welterweight,1,Benji Radach,vs.,/wiki/Benji_Radach,Steve Berger,/wiki/Steve_Berger,No Contest,Ultimate Fighting Championship,0:27,CenturyTel Center
Bossier City,"May 10, 2002",Welterweight,3,Robbie Lawler,def.,/wiki/Robbie_Lawler,Aaron Riley,/wiki/Aaron_Riley,Decision (unanimous),Ultimate Fighting Championship,5:00,CenturyTel Center
"Las Vegas, Nevada","June 22, 2002",Light Heavyweight,3,Chuck Liddell,def.,/wiki/Chuck_Liddell,Vitor Belfort,/wiki/Vitor_Belfort,"Decision (unanimous) (30–27, 30–27, 29–28)",Ultimate Fighting Championship,5:00,Bellagio Hotel and Casino
"Las Vegas, Nevada","June 22, 2002",Welterweight,3,Benji Radach,def.,/wiki/Benji_Radach,,,"Decision (unanimous) (29–28, 30–27, 30–27)",Ultimate Fighting Championship,5:00,Bellagio Hotel and Casino
"Las Vegas, Nevada","June 22, 2002",Welterweight,1,Pete Spratt,def.,/wiki/Pete_Spratt,Zach Light,/wiki/Zach_Light,Submission (armbar),Ultimate Fighting Championship,2:25,Bellagio Hotel and Casino
"Las Vegas, Nevada","June 22, 2002",Welterweight,2,Robbie Lawler,def.,/wiki/Robbie_Lawler,Steve Berger,/wiki/Steve_Berger,TKO (punches),Ultimate Fighting Championship,0:27,Bellagio Hotel and Casino
"Las Vegas, Nevada","June 22, 2002",Middleweight,2,Tony Fryklund,def.,/wiki/Tony_Fryklund,,,TKO (punches),Ultimate Fighting Championship,3:34,Bellagio Hotel and Casino
"Las Vegas, Nevada","June 22, 2002",Lightweight,1,Yves Edwards,def.,/wiki/Yves_Edwards,,,TKO (injury),Ultimate Fighting Championship,1:19,Bellagio Hotel and Casino
London,"July 13, 2002",Welterweight,4,Matt Hughes,def.,/wiki/Matt_Hughes_(fighter),Carlos Newton,/wiki/Carlos_Newton,TKO (punches),Ultimate Fighting Championship,3:27,Royal Albert Hall
London,"July 13, 2002",Heavyweight,1,Ian Freeman,def.,/wiki/Ian_Freeman,Frank Mir,/wiki/Frank_Mir,TKO (referee stoppage),Ultimate Fighting Championship,4:35,Royal Albert Hall
London,"July 13, 2002",Middleweight,1,Mark Weir,def.,/wiki/Mark_Weir,,,KO (punch),Ultimate Fighting Championship,0:10,Royal Albert Hall
London,"July 13, 2002",Lightweight,2,Genki Sudo,def.,/wiki/Genki_Sudo,,,Submission (rear-naked choke),Ultimate Fighting Championship,1:38,Royal Albert Hall
London,"July 13, 2002",Light Heavyweight,3,Phillip Miller,def.,/wiki/Phillip_Miller,,,"Decision (unanimous) (29–28, 29–28, 29–28)",Ultimate Fighting Championship,5:00,Royal Albert Hall
London,"July 13, 2002",Light Heavyweight,3,Renato Sobral,def.,/wiki/Renato_Sobral,Elvis Sinosic,/wiki/Elvis_Sinosic,"Decision (unanimous) (30–27, 30–27, 30–26)",Ultimate Fighting Championship,5:00,Royal Albert Hall
London,"July 13, 2002",Light Heavyweight,3,Evan Tanner,def.,/wiki/Evan_Tanner,Chris Haseman,/wiki/Chris_Haseman,"Decision (unanimous) (30–26, 30–26, 30–27)",Ultimate Fighting Championship,5:00,Royal Albert Hall
Uncasville,"September 27, 2002",Heavyweight,5,Ricco Rodriguez,def.,/wiki/Ricco_Rodriguez,Randy Couture,/wiki/Randy_Couture,Submission (elbow),Ultimate Fighting Championship,3:04,Mohegan Sun Arena
Uncasville,"September 27, 2002",Heavyweight,2,Tim Sylvia,def.,/wiki/Tim_Sylvia,Wesley Correira,/wiki/Wesley_Correira,TKO (corner stoppage),Ultimate Fighting Championship,1:43,Mohegan Sun Arena
Uncasville,"September 27, 2002",Lightweight,3,B.J. Penn,def.,/wiki/B.J._Penn,Matt Serra,/wiki/Matt_Serra,Decision (unanimous),Ultimate Fighting Championship,5:00,Mohegan Sun Arena
Uncasville,"September 27, 2002",Lightweight,3,Caol Uno,def.,/wiki/Caol_Uno,Din Thomas,/wiki/Din_Thomas,Decision (unanimous),Ultimate Fighting Championship,5:00,Mohegan Sun Arena
Uncasville,"September 27, 2002",Heavyweight,1,Gan McGee,def.,/wiki/Gan_McGee,Pedro Rizzo,/wiki/Pedro_Rizzo,TKO (corner stoppage),Ultimate Fighting Championship,5:00,Mohegan Sun Arena
Uncasville,"September 27, 2002",Middleweight,1,Phil Baroni,def.,/wiki/Phil_Baroni,Dave Menne,/wiki/Dave_Menne,KO (punches),Ultimate Fighting Championship,0:18,Mohegan Sun Arena
Uncasville,"September 27, 2002",Middleweight,3,Matt Lindland,def.,/wiki/Matt_Lindland,Ivan Salaverry,/wiki/Ivan_Salaverry,Decision (unanimous),Ultimate Fighting Championship,5:00,Mohegan Sun Arena
Uncasville,"September 27, 2002",Welterweight,1,Sean Sherk,def.,/wiki/Sean_Sherk,Benji Radach,/wiki/Benji_Radach,TKO (doctor stoppage),Ultimate Fighting Championship,4:16,Mohegan Sun Arena
"Las Vegas, Nevada","November 22, 2002",Light Heavyweight,3,Tito Ortiz,def,/wiki/Tito_Ortiz,Ken Shamrock,/wiki/Ken_Shamrock,TKO (corner stoppage),Ultimate Fighting Championship,5:00,MGM Grand Arena
"Las Vegas, Nevada","November 22, 2002",Light Heavyweight,1,Chuck Liddell,def.,/wiki/Chuck_Liddell,Renato Sobral,/wiki/Renato_Sobral,TKO (head kick and punches),Ultimate Fighting Championship,2:55,MGM Grand Arena
"Las Vegas, Nevada","November 22, 2002",Welterweight,1,Matt Hughes,def.,/wiki/Matt_Hughes_(fighter),Gil Castillo,/wiki/Gil_Castillo,TKO (doctor stoppage),Ultimate Fighting Championship,5:00,MGM Grand Arena
"Las Vegas, Nevada","November 22, 2002",Welterweight,1,Carlos Newton,def.,/wiki/Carlos_Newton,Pete Spratt,/wiki/Pete_Spratt,Submission (kimura),Ultimate Fighting Championship,1:45,MGM Grand Arena
"Las Vegas, Nevada","November 22, 2002",Welterweight,1,Robbie Lawler,def.,/wiki/Robbie_Lawler,Tiki Ghosn,/wiki/Tiki_Ghosn,TKO (punches),Ultimate Fighting Championship,1:29,MGM Grand Arena
"Las Vegas, Nevada","November 22, 2002",Heavyweight,1,Andrei Arlovski,def.,/wiki/Andrei_Arlovski,Ian Freeman,/wiki/Ian_Freeman,TKO (punches),Ultimate Fighting Championship,1:25,MGM Grand Arena
"Las Vegas, Nevada","November 22, 2002",Heavyweight,1,Vladimir Matyushenko,def.,/wiki/Vladimir_Matyushenko,Travis Wiuff,/wiki/Travis_Wiuff,Submission (punches),Ultimate Fighting Championship,4:10,MGM Grand Arena
"Las Vegas, Nevada","November 22, 2002",Middleweight,2,Phillip Miller,def.,/wiki/Phillip_Miller,Mark Weir,/wiki/Mark_Weir,Submission (rear-naked choke),Ultimate Fighting Championship,4:50,MGM Grand Arena
Atlantic City,"February 28, 2003",Heavyweight,1,Tim Sylvia,def.,/wiki/Tim_Sylvia,Ricco Rodriguez,/wiki/Ricco_Rodriguez,TKO (punches),Ultimate Fighting Championship,3:09,Boardwalk Hall
Atlantic City,"February 28, 2003",Heavyweight,1,Frank Mir,def.,/wiki/Frank_Mir,David Abbott,/wiki/Tank_Abbott,Submission (toe hold),Ultimate Fighting Championship,0:46,Boardwalk Hall
Atlantic City,"February 28, 2003",Lightweight,5,B.J. Penn,vs.,/wiki/B.J._Penn,Caol Uno,/wiki/Caol_Uno,"Draw (split) (48–46, 47–48, 48–48)",Ultimate Fighting Championship,5:00,Boardwalk Hall
Atlantic City,"February 28, 2003",Middleweight,3,Matt Lindland,def.,/wiki/Matt_Lindland,Phil Baroni,/wiki/Phil_Baroni,"Decision (unanimous) (29–28, 29–28, 29–28)",Ultimate Fighting Championship,5:00,Boardwalk Hall
Atlantic City,"February 28, 2003",Heavyweight,3,Vladimir Matyushenko,def.,/wiki/Vladimir_Matyushenko,Pedro Rizzo,/wiki/Pedro_Rizzo,"Decision (unanimous) (29–28, 30–27, 29–28)",Ultimate Fighting Championship,5:00,Boardwalk Hall
Atlantic City,"February 28, 2003",Lightweight,3,Din Thomas,def.,/wiki/Din_Thomas,Matt Serra,/wiki/Matt_Serra,Decision (split),Ultimate Fighting Championship,5:00,Boardwalk Hall
Atlantic City,"February 28, 2003",Heavyweight,1,Gan McGee,def.,/wiki/Gan_McGee,Alexandre Dantas,/wiki/Alexandre_Dantas,TKO (punches),Ultimate Fighting Championship,4:49,Boardwalk Hall
Atlantic City,"February 28, 2003",Lightweight,3,Yves Edwards,def.,/wiki/Yves_Edwards,Rich Clementi,/wiki/Rich_Clementi,Submission (rear-naked choke),Ultimate Fighting Championship,4:07,Boardwalk Hall
Miami,"April 25, 2003",Welterweight,5,Matt Hughes,def.,/wiki/Matt_Hughes_(fighter),Sean Sherk,/wiki/Sean_Sherk,"Decision (unanimous) (49–46, 48–47, 48–45)",Ultimate Fighting Championship,5:00,American Airlines Arena
Miami,"April 25, 2003",Welterweight,2,Pete Spratt,def.,/wiki/Pete_Spratt,Robbie Lawler,/wiki/Robbie_Lawler,Submission (injury),Ultimate Fighting Championship,2:28,American Airlines Arena
Miami,"April 25, 2003",Welterweight,3,Dave Strasser,def.,/wiki/Dave_Strasser,,,"Decision (unanimous) (30–27, 30–27, 30–27)",Ultimate Fighting Championship,5:00,American Airlines Arena
Miami,"April 25, 2003",Heavyweight,2,Wesley Correira,def.,/wiki/Wesley_Correira,Sean Alvarez,/wiki/Sean_Alvarez,TKO (knees and punches),Ultimate Fighting Championship,1:46,American Airlines Arena
Miami,"April 25, 2003",Light Heavyweight,1,Rich Franklin,def.,/wiki/Rich_Franklin,Evan Tanner,/wiki/Evan_Tanner,TKO (punches),Ultimate Fighting Championship,2:40,American Airlines Arena
Miami,"April 25, 2003",Lightweight,3,Duane Ludwig,def.,/wiki/Duane_Ludwig,Genki Sudo,/wiki/Genki_Sudo,"Decision (unanimous) (29–28, 29–28, 29–28)",Ultimate Fighting Championship,5:00,American Airlines Arena
Miami,"April 25, 2003",Lightweight,3,Hermes Franca,def.,/wiki/Hermes_Franca,Rich Crunkilton,/wiki/Rich_Crunkilton,"Decision (unanimous) (29–28, 29–28, 29–28)",Ultimate Fighting Championship,5:00,American Airlines Arena
Miami,"April 25, 2003",Middleweight,1,David Loiseau,def.,/wiki/David_Loiseau,Mark Weir,/wiki/Mark_Weir,KO (punches),Ultimate Fighting Championship,3:55,American Airlines Arena
"Las Vegas, Nevada","June 6, 2003",Light Heavyweight,3,Randy Couture,def.,/wiki/Randy_Couture,Chuck Liddell,/wiki/Chuck_Liddell,TKO (punches),Ultimate Fighting Championship,2:39,Thomas and Mack Center
"Las Vegas, Nevada","June 6, 2003",Heavyweight,1,Kimo Leopoldo,def.,/wiki/Kimo_Leopoldo,David Abbott,/wiki/Tank_Abbott,Submission (arm-triangle choke),Ultimate Fighting Championship,1:59,Thomas and Mack Center
"Las Vegas, Nevada","June 6, 2003",Light Heavyweight,1,Vitor Belfort,def.,/wiki/Vitor_Belfort,Marvin Eastman,/wiki/Marvin_Eastman,TKO (knees and punches),Ultimate Fighting Championship,1:07,Thomas and Mack Center
"Las Vegas, Nevada","June 6, 2003",Heavyweight,3,Vernon White,vs.,/wiki/Vernon_White_(fighter),Ian Freeman,/wiki/Ian_Freeman,"Draw (split) (28–29, 30–27, 29–29)",Ultimate Fighting Championship,5:00,Thomas and Mack Center
"Las Vegas, Nevada","June 6, 2003",Heavyweight,1,Frank Mir,def.,/wiki/Frank_Mir,Wes Sims,/wiki/Wes_Sims_(fighter),Disqualification (kicking a downed opponent),Ultimate Fighting Championship,2:55,Thomas and Mack Center
"Las Vegas, Nevada","June 6, 2003",Heavyweight,2,Pedro Rizzo,def.,/wiki/Pedro_Rizzo,Tra Telligman,/wiki/Tra_Telligman,TKO (doctor stoppage),Ultimate Fighting Championship,4:24,Thomas and Mack Center
"Las Vegas, Nevada","June 6, 2003",Middleweight,1,Falaniko Vitale,def.,/wiki/Falaniko_Vitale,Matt Lindland,/wiki/Matt_Lindland,TKO (slam),Ultimate Fighting Championship,1:56,Thomas and Mack Center
"Las Vegas, Nevada","June 6, 2003",Lightweight,3,Yves Edwards,def.,/wiki/Yves_Edwards,,,"Decision (unanimous) (30–27, 30–27, 30–27)",Ultimate Fighting Championship,5:00,Thomas and Mack Center
"Las Vegas, Nevada","September 26, 2003",Light Heavyweight,5,Randy Couture,def.,/wiki/Randy_Couture,Tito Ortiz,/wiki/Tito_Ortiz,Decision (unanimous),Ultimate Fighting Championship,5:00,Mandalay Bay Events Center
"Las Vegas, Nevada","September 26, 2003",Heavyweight,1,Tim Sylvia,def.,/wiki/Tim_Sylvia,Gan McGee,/wiki/Gan_McGee,TKO (punches),Ultimate Fighting Championship,1:54,Mandalay Bay Events Center
"Las Vegas, Nevada","September 26, 2003",Heavyweight,1,Andrei Arlovski,def.,/wiki/Andrei_Arlovski,Vladimir Matyushenko,/wiki/Vladimir_Matyushenko,KO (punch),Ultimate Fighting Championship,1:59,Mandalay Bay Events Center
"Las Vegas, Nevada","September 26, 2003",Middleweight,3,Jorge Rivera,def.,/wiki/Jorge_Rivera_(fighter),David Loiseau,/wiki/David_Loiseau,Decision (unanimous),Ultimate Fighting Championship,5:00,Mandalay Bay Events Center
"Las Vegas, Nevada","September 26, 2003",Light Heavyweight,1,Rich Franklin,def.,/wiki/Rich_Franklin,Edwin Dewees,/wiki/Edwin_Dewees,TKO (punches and knees),Ultimate Fighting Championship,3:35,Mandalay Bay Events Center
"Las Vegas, Nevada","September 26, 2003",Welterweight,1,Karo Parisyan,def.,/wiki/Karo_Parisyan,Dave Strasser,/wiki/Dave_Strasser,Submission (kimura),Ultimate Fighting Championship,3:52,Mandalay Bay Events Center
"Las Vegas, Nevada","September 26, 2003",Lightweight,1,Josh Thomson,def.,/wiki/Josh_Thomson,Gerald Strebendt,/wiki/Gerald_Strebendt,KO (punches),Ultimate Fighting Championship,2:45,Mandalay Bay Events Center
"Las Vegas, Nevada","September 26, 2003",Welterweight,3,Nick Diaz,def.,/wiki/Nick_Diaz,Jeremy Jackson,/wiki/Jeremy_Jackson_(fighter),Submission (armbar),Ultimate Fighting Championship,2:04,Mandalay Bay Events Center
"Las Vegas, Nevada","September 26, 2003",Lightweight,2,Hermes Franca,def.,/wiki/Hermes_Franca,Caol Uno,/wiki/Caol_Uno,KO (punch),Ultimate Fighting Championship,2:46,Mandalay Bay Events Center
Uncasville,"November 21, 2003",Welterweight,1,Matt Hughes,def.,/wiki/Matt_Hughes_(fighter),Frank Trigg,/wiki/Frank_Trigg,Submission (standing rear-naked choke),Ultimate Fighting Championship,3:54,Mohegan Sun Arena
Uncasville,"November 21, 2003",Middleweight,3,Matt Lindland,def.,/wiki/Matt_Lindland,Falaniko Vitale,/wiki/Falaniko_Vitale,Submission (punches),Ultimate Fighting Championship,4:23,Mohegan Sun Arena
Uncasville,"November 21, 2003",Heavyweight,1,Wesley Correira,def.,/wiki/Wesley_Correira,David Abbott,/wiki/Tank_Abbott,TKO (doctor stoppage),Ultimate Fighting Championship,2:14,Mohegan Sun Arena
Uncasville,"November 21, 2003",Middleweight,1,Evan Tanner,def.,/wiki/Evan_Tanner,Phil Baroni,/wiki/Phil_Baroni,TKO (punches),Ultimate Fighting Championship,4:42,Mohegan Sun Arena
Uncasville,"November 21, 2003",Welterweight,3,Robbie Lawler,def.,/wiki/Robbie_Lawler,Chris Lytle,/wiki/Chris_Lytle,"Decision (unanimous) (29–28, 29–28, 29–28)",Ultimate Fighting Championship,5:00,Mohegan Sun Arena
Uncasville,"November 21, 2003",Heavyweight,3,Pedro Rizzo,def.,/wiki/Pedro_Rizzo,Ricco Rodriguez,/wiki/Ricco_Rodriguez,"Decision (unanimous) (30–27, 29–28, 30–27)",Ultimate Fighting Championship,5:00,Mohegan Sun Arena
Uncasville,"November 21, 2003",Middleweight,1,Keith Rockel,def.,,,/wiki/Chris_Liguori,Submission (guillotine choke),Ultimate Fighting Championship,3:29,Mohegan Sun Arena
Uncasville,"November 21, 2003",Lightweight,2,Yves Edwards,def.,/wiki/Yves_Edwards,Nick Agallar,/wiki/Nick_Agallar,TKO (punches),Ultimate Fighting Championship,2:14,Mohegan Sun Arena
"Las Vegas, Nevada","January 31, 2004",Light Heavyweight,1,Vitor Belfort,def.,/wiki/Vitor_Belfort,Randy Couture,/wiki/Randy_Couture,TKO (doctor stoppage),Ultimate Fighting Championship,0:54,Mandalay Bay Events Center
"Las Vegas, Nevada","January 31, 2004",Welterweight,1,B.J. Penn,def.,/wiki/B.J._Penn,Matt Hughes,/wiki/Matt_Hughes_(fighter),Submission (rear-naked choke),Ultimate Fighting Championship,4:37,Mandalay Bay Events Center
